word,count
Говорят,28
Встреча,28
Аракчеев,28
pierre,28
mes,28
ярко,27
число,27
часы,27
ход,27
халате,27
французским,27
фланга,27
унтер,27
умереть,27
уйти,27
убил,27
третьего,27
торжественно,27
тома,27
такими,27
счастлива,27
судить,27
строгим,27
старая,27
стакан,27
совершилось,27
собаки,27
сне,27
смел,27
слышно,27
сидя,27
сели,27
рассказать,27
проводил,27
приказ,27
приезд,27
превосходительство,27
постели,27
последнего,27
помню,27
позицию,27
поднялась,27
подняв,27
переставая,27
офицерами,27
осталось,27
остается,27
огня,27
оглянулась,27
обращался,27
обнял,27
ничто,27
нисколько,27
неприятелем,27
недавно,27
начинал,27
накануне,27
минута,27
местах,27
кресле,27
корпуса,27
командиру,27
знают,27
закрыв,27
зависит,27
ездил,27
дядюшки,27
добра,27
действий,27
дали,27
глядел,27
герцога,27
ворот,27
видишь,27
бывал,27
адъютантом,27
Шиншин,27
Сам,27
Прежде,27
Напротив,27
Лаврушка,27
Какая,27
Иногда,27
Денисовым,27
Глаза,27
Бонапарта,27
xxiii,27
jamais,27
язык,26
участия,26
услыхав,26
улыбку,26
угол,26
убит,26
товарищей,26
текста,26
такую,26
счастливо,26
стыдно,26
странное,26
сражений,26
состоял,26
соображения,26
снег,26
случай,26
семь,26
сделает,26
рядах,26
русскую,26
роты,26
ребята,26
приходило,26
прав,26
поход,26
покачал,26
пойдем,26
поводу,26
повернулся,26
пишет,26
писала,26
петь,26
пальцами,26
остались,26
обещал,26
никуда,26
нежно,26
нарочно,26
массы,26
мама,26
любовью,26
лежали,26
крыльца,26
криком,26
красивый,26
кивнул,26
квартире,26
историков,26
испытал,26
издание,26
играть,26
знакомый,26
земли,26
занят,26
заметно,26
закрыл,26
законам,26
заговорила,26
забыть,26
ездить,26
дочерью,26
двигались,26
двадцать,26
волю,26
виновата,26
вздор,26
бровями,26
благо,26
беспокойно,26
батарею,26
адъютантов,26
автора,26
Чего,26
Уже,26
Точно,26
Русские,26
Под,26
Платон,26
Наконец,26
Иванович,26
Европы,26
Друбецкой,26
Господа,26
Вишь,26
Боссе,26
Борисом,26
ils,26
шагах,25
черта,25
черные,25
человеческого,25
цыпочках,25
французскими,25
ура,25
трубку,25
страшный,25
страдания,25
стихи,25
солнца,25
снял,25
снова,25
слыхал,25
слове,25
сесть,25
свободу,25
ртом,25
рассказа,25
разумеется,25
разговаривая,25
пушек,25
провел,25
приятное,25
пристально,25
прикажете,25
привычке,25
представление,25
поступил,25
поразило,25
понятия,25
пожалуйста,25
подать,25
повозки,25
плохо,25
первом,25
пальцем,25
осталась,25
оставалось,25
оставались,25
оглядывая,25
общий,25
новых,25
начальство,25
наука,25
мрачно,25
молчания,25
молчание,25
моему,25
лежит,25
кругом,25
кричала,25
короля,25
каждое,25
имеют,25
известный,25
избе,25
игры,25
запах,25
занятия,25
живо,25
дурного,25
дурак,25
достаточно,25
диванной,25
делами,25
девочка,25
говорило,25
главе,25
высшей,25
выстрелов,25
воду,25
влево,25
вашему,25
бутылку,25
благодаря,25
берем,25
белые,25
Участвовал,25
Нынче,25
Настроение,25
Мюрата,25
Карл,25
Берга,25
russe,25
même,25
шляпу,24
чай,24
усами,24
упорно,24
ужасом,24
удар,24
толстый,24
счастья,24
суть,24
стрелять,24
старых,24
старым,24
совершиться,24
слышался,24
слышали,24
слушала,24
скучно,24
сестры,24
саду,24
путь,24
прочь,24
приходили,24
присутствие,24
принимать,24
последней,24
помощь,24
получить,24
полковника,24
охотник,24
отечества,24
окну,24
обращая,24
неделю,24
начальства,24
началось,24
находились,24
настоящего,24
направился,24
намерения,24
намерение,24
называли,24
наблюдения,24
музыки,24
мужчина,24
маленькую,24
лежало,24
лакей,24
костров,24
камердинер,24
идут,24
ехали,24
дорога,24
допустить,24
договорил,24
доволен,24
добрый,24
девушки,24
давал,24
главной,24
выйдет,24
выехал,24
входя,24
вопросом,24
волка,24
воды,24
влиянием,24
взглядывая,24
